Source path,Class name,Method name,Smell type,Severity,Evidence
src/main/java/io/moderne/devcenter/DependencyVulnerabilityCheck.java,io.moderne.devcenter.DependencyVulnerabilityCheck,getVisitor,FEATURE_ENVY,LOW,"foreign accesses=5, own accesses=2"
src/main/java/io/moderne/devcenter/DependencyVulnerabilityCheck.java,io.moderne.devcenter.DependencyVulnerabilityCheck,preVisit,FEATURE_ENVY,LOW,"foreign accesses=8, own accesses=0"
src/main/java/io/moderne/devcenter/DevCenter.java,io.moderne.devcenter.DevCenter,,GOD_CLASS,LOW,"WMC=47, TCC=0.04, ATFD=8"
src/main/java/io/moderne/devcenter/DevCenter.java,io.moderne.devcenter.DevCenter,cardToSpec,FEATURE_ENVY,LOW,"foreign accesses=8, own accesses=0"
src/main/java/io/moderne/devcenter/DevCenter.java,io.moderne.devcenter.DevCenter,getSecurityRecursive,FEATURE_ENVY,HIGH,"foreign accesses=20, own accesses=3"
src/main/java/io/moderne/devcenter/DevCenter.java,io.moderne.devcenter.DevCenter,getUpgradesAndMigrationsRecursive,FEATURE_ENVY,MEDIUM,"foreign accesses=14, own accesses=1"
src/main/java/io/moderne/devcenter/DevCenter.java,io.moderne.devcenter.DevCenter,isDevCenter,FEATURE_ENVY,HIGH,"foreign accesses=15, own accesses=1"
src/main/java/io/moderne/devcenter/DevCenter.java,io.moderne.devcenter.DevCenter,validate,FEATURE_ENVY,MEDIUM,"foreign accesses=14, own accesses=3"
src/main/java/io/moderne/devcenter/FindOrganizationStatistics.java,io.moderne.devcenter.FindOrganizationStatistics,visit,FEATURE_ENVY,LOW,"foreign accesses=7, own accesses=0"
src/main/java/io/moderne/devcenter/GroovyVersionUpgrade.java,io.moderne.devcenter.GroovyVersionUpgrade,findGroovyDependency,FEATURE_ENVY,HIGH,"foreign accesses=15, own accesses=4"
src/main/java/io/moderne/devcenter/GroovyVersionUpgrade.java,io.moderne.devcenter.GroovyVersionUpgrade,getMeasures,FEATURE_ENVY,LOW,"foreign accesses=7, own accesses=1"
